P80 (micras),TONS/DIA  HUMEDAS,% HUMEDAD,TONS/DIA  SECAS,HORAS,TONS/Hr  SECAS,Gcab-Au,Gcab-Ag,Gcab-Pb,Gcab-Zn,Gcab-Cu,Gcab-Fe,Gcab-As,Gcab-Pb ox,Gcab-Zn ox,Gcab-PbS,Gcab-PbO,Gcab-ZnS,Gcab-ZnO,GC-Au,GC-Ag,GC-Pb,GC-Zn,GC-Cu,GC-Fe,GC-As,R-Au,R-Ag,R-Pb,R-Zn,R-Cu,R-Fe,R-As,GC-Pb ox,GC-Zn ox,GC-PbS,GC-PbO,GC-ZnS,GC-ZnO,COMPOSITO DÍA,,Gcu-Au,Gcu-Ag,Gcu-Pb,Gcu-Zn,Gcu-Cu,Gcu-Fe,Gcu-As,Rcu-Au,Rcu-Ag,Rcu-Pb,Rcu-Zn,Rcu-Cu,Rcu-Fe,Rcu-As,GCzn-Au,GCzn-Ag,GCzn-Pb,GCzn-Zn,GCzn-Cu,GCzn-Fe,GCzn-As,Rzn-Au,Rzn-Ag,Rzn-Pb,Rzn-Zn,Rzn-Cu,Rzn-Fe,Rzn-As,GPb-Au,GPb-Ag,GPb-Pb,GPb-Zn,GPb-Cu,GPb-Fe,GPb-As,RPb-Au,RPb-Ag,RPb-Pb,RPb-Zn,RPb-Cu,RPb-Fe,RPb-As,GPb-Pb ox,GPb-Zn ox,GPb-PbS,GPb-PbO,GPb-ZnS,GPb-ZnO
176,1610,2,1576,8,196.96,0.18,42,1.12,1.84,0.4,3.3,0.03,0.13,0.06,88.39,11.61,96.7,3.26,0.1,4,0.23,0.26,0.06,3,0.03,41.55,9.63,19.5,13.42,14,86.72,91.71,0.11,0.07,52.17,47.83,73.1,26.92,0.75,11.8,3.5,752,2.42,2.16,32.2,28.7,0.04,11.47,14.28,1.62,0.88,60.29,6.54,0.96,0.37,152,3.24,50.9,1.48,5,0.04,4.75,11.31,8.49,81.17,10.86,4.47,3.78,7,1854,57.2,6.06,4.31,5.4,0.08,42.23,64.79,70.4,4.54,14.85,2.27,3.55,0.94,0.03,98.36,1.64,99.5,0.5
161,1300,2,1268,7.03,180.35,0.15,44,0.88,1.99,0.36,3.1,0.04,0.1,0.05,88.64,11.36,97.5,2.51,0.06,4,0.11,0.1,0.03,2.8,0.04,49.93,8.25,11.82,4.75,7.09,84.9,92.08,0.06,0.05,45.45,54.55,50,50,0.71,8.98,2.1,664,2.54,1.58,32.3,28.9,0.02,13.08,10.26,2.04,0.56,63.5,6.56,0.34,0.23,160,2.78,51.2,1.25,5.3,0.04,7.17,12.36,11.19,91.1,12.29,6.02,3.45,2.8,2617,54.5,5.9,5.09,6.5,0.14,29.83,69.13,74.95,3.59,17.11,2.52,4.13,1.09,0.02,98,2,99.7,0.34
170,1242,2,1214,6.47,187.76,0.21,42.5,1.04,2.06,0.32,3.7,0.04,0.18,0.08,82.69,17.31,96.1,3.88,0.13,8,0.13,0.1,0.03,3.5,0.04,37.68,19.11,11.81,4.59,8.27,88.17,90.4,0.11,0.07,15.38,84.62,30,70,0.64,7.73,6.3,740,3,6.26,31.6,26.4,0.06,12.31,11.92,1.84,1.94,62.88,4.48,0.91,0.43,128,2.68,52,1.27,5.5,0.04,4.6,11.28,8.98,87.99,13.83,5.11,3.34,10.6,1633,57.6,8.1,3.44,6,0.16,45.42,57.69,77.37,5.49,15.02,2.23,5.35,1.09,0.04,98.11,1.89,99.5,0.49
169,1676,2,1638,8,204.77,0.16,52,1.07,1.81,0.35,2.9,0.09,0.11,0.06,89.72,10.28,96.7,3.31,0.06,6,0.14,0.21,0.04,2.6,0.08,36.51,10.82,12.39,10.98,11.09,83.87,92.52,0.07,0.05,50,50,76.2,23.81,0.69,11.31,2.55,661,2.46,2.26,31,28.6,0.04,11.32,8.7,1.59,0.86,61.14,6.73,0.34,0.23,102,1.58,50.9,0.9,5.9,0.08,4.25,5.58,4.24,80.74,7.38,5.77,2.81,4.2,2214,49.3,7.56,4.02,6,0.2,47.93,74.9,81.79,7.41,20.39,3.63,4.34,0.63,0.04,98.72,1.28,99.5,0.53
161,1651,2,1614,4.3,375.43,0.12,41,1.08,1.98,0.28,3,0.04,0.09,0.04,91.67,8.33,98,2.02,0.06,5,0.16,0.17,0.04,2.7,0.04,48.41,11.52,14.04,8.14,14.22,86.34,90.87,0.07,0.04,56.25,43.75,76.5,23.53,0.42,6.78,1.3,593,1.52,0.96,31.8,30.6,0.04,4.65,6.06,0.59,0.2,47.72,4.34,0.4,0.17,95,1.5,55.6,1.08,5.5,0.04,4.46,7.12,4.28,86.58,11.89,5.72,2.96,2.9,1800,50.9,5.85,4.26,6.2,0.14,42.48,75.3,81.09,5.08,26.18,3.6,5.77,0.79,0.03,98.45,1.55,99.5,0.51
167,1633,3,1590,7.47,212.98,0.16,44,1.24,1.9,0.31,3.2,0.12,0.16,0.07,87.1,12.9,96.3,3.68,0.09,4,0.18,0.26,0.05,2.9,0.12,53.37,8.51,13.75,12.96,14.06,87.24,95.92,0.1,0.09,44.44,55.56,65.4,34.62,0.51,8.04,1.3,621,1.56,1.66,32.4,27.2,0.04,4.12,7.05,0.64,0.44,52.87,4.37,0.17,0.31,142,2.68,51.4,1.28,5.7,0.06,5.78,9.51,6.44,80.64,12.31,5.4,1.51,3.3,1876,55.2,6.36,3.62,5.3,0.16,36.73,74.93,79.17,5.95,20.77,2.99,2.4,0.52,0.06,99.06,0.94,99.1,0.94
164,2088,2,2046,6.77,302.3,0.13,42,1.19,2.2,0.33,3.1,0.05,0.1,0.04,91.6,8.4,98.2,1.82,0.04,6,0.12,0.06,0.03,2.8,0.05,30.73,13.67,9.46,2.56,7.39,84.3,91.63,0.05,0.04,58.33,41.67,33.3,66.67,0.68,13.98,2.6,752,2.32,2.02,31.9,27.6,0.04,14.55,12.48,1.33,0.63,66.06,6.05,0.53,0.23,76,0.96,54.7,0.91,5.3,0.04,6.86,6.73,2.94,90.61,10.05,6.2,2.85,3.2,1513,56.2,7.47,2.98,5.9,0.14,47.86,67.12,86.26,6.2,16.49,3.46,4.99,0.52,0.02,99.07,0.93,99.7,0.27
172,1570,2,1536,7.67,200.4,0.15,39,1,1.84,0.28,2.9,0.02,0.15,0.1,85,15,94.6,5.43,0.09,4,0.17,0.22,0.05,2.6,0.02,66.78,10.12,16.2,11.39,17.83,87.11,83.67,0.08,0.06,52.94,47.06,72.7,27.27,0.45,6.96,0.5,601,2.18,2.36,32.5,28.4,0.02,1.76,7.22,0.99,0.58,52.94,4.52,0.4,0.16,148,2.7,52.8,1.34,5.4,0.04,3.58,11.3,7.77,82.55,13.87,5.46,5.05,2.6,1953,54.5,7.32,3.1,6,0.18,27.88,71.37,75.05,5.48,15.36,2.9,10.88,1.53,0.08,97.19,2.81,98.9,1.09
166,1610,2,1574,7,224.81,0.19,44.9,1.19,1.76,0.39,3.2,0.02,0.18,0.08,84.87,15.13,95.5,4.55,0.09,5,0.21,0.24,0.06,2.9,0.02,46.32,10.63,16.77,12.96,14.62,85.54,86.08,0.11,0.08,47.62,52.38,66.7,33.33,0.78,12.25,1.9,693,2.34,2.3,32.1,28.2,0.02,8.01,12.07,1.53,1.02,64.06,6.81,0.71,0.26,122,1.58,54.2,1.26,5.5,0.02,3.47,6.72,3.27,75.81,7.95,4.2,2.23,4.5,1822,53.9,10.38,3.01,6.4,0.14,42.2,70.58,78.43,10.21,13.36,3.44,10.98,1.08,0.04,98,2,99.6,0.39
163,1450,2,1417,6.83,207.3,0.17,47,1.26,1.69,0.38,3.2,0.06,0.14,0.04,88.89,11.11,97.6,2.37,0.1,5,0.13,0.21,0.04,2.9,0.04,51.48,9.67,9.8,11.8,10,85.8,88.39,0.07,0.03,46.15,53.85,85.7,14.29,0.53,7.54,1.1,460,0.9,0.84,32.9,30.2,0.04,3.17,4.99,0.38,0.26,46.09,5.01,0.5,0.21,125,2.36,55.2,1.35,5.3,0.06,2.79,6.23,4.59,79.97,8.7,4.04,3.42,3.8,1881,52,6.52,6.48,8,0.16,42.55,79.11,85.24,7.97,35.22,5.15,7.69,1.05,0.03,97.98,2.02,99.5,0.46
176,1702,2,1664,5,332.87,0.23,45.5,1.28,2.16,0.28,2.8,0.06,0.11,0.07,91.41,8.59,96.8,3.24,0.12,6,0.12,0.22,0.04,2.6,0.05,45.71,10.93,8.81,9.57,14.77,84.67,83.25,0.1,0.07,16.67,83.33,68.2,31.82,0.18,3.07,2.64,789,3.84,4.36,30.9,26.4,0.08,1.97,2.82,0.55,0.37,20.35,1.69,0.26,0.23,123,2.1,53.5,0.98,5,0.06,2.95,7.53,5.19,78.3,11.06,5.48,3.36,4.6,1534,41.3,9.59,5.69,8.9,0.28,49.37,78.72,85.45,11.76,53.82,8.17,13.13,0.69,0.04,98.33,1.67,99.6,0.42
169,1688,2,1646,5.33,308.6,0.18,37,0.86,1.74,0.29,3,0.04,0.15,0.09,82.56,17.44,94.8,5.17,0.08,8,0.14,0.26,0.07,2.8,0.03,46.56,20.41,15.59,14.31,24.44,89.67,91.47,0.13,0.08,7.14,92.86,69.2,30.77,0.23,3.78,2.6,977,5.1,4.26,33.2,22.8,0.01,3.63,5.97,1.36,0.56,26.28,1.75,0.07,0.29,150,2.42,52.2,1.86,5.6,0.04,4.69,10.64,7.5,79.91,17.08,4.99,3.39,5.6,1783,49,6.84,7.04,8.1,0.12,45.12,62.97,75.55,5.21,32.19,3.59,5.07,1.24,0.07,97.47,2.53,99,1.02
170,1681,2,1641,8,205.1,0.18,53,1.43,2.32,0.43,3.5,0.03,0.11,0.05,92.31,7.69,97.8,2.16,0.08,6,0.18,0.2,0.04,3.2,0.03,39.21,11.04,11.75,8.04,9.33,84.06,89.76,0.08,0.06,55.56,44.44,70,30,0.67,11.06,1.4,676,3.86,1.88,31.9,27.2,0.04,4.96,8.99,1.82,0.55,50.02,5.16,0.86,0.19,117,2.48,51.8,1.29,5.9,0.02,3.85,8.91,6.69,86.18,11.58,6.41,2.48,4.6,1675,53,5.64,5.81,7.2,0.1,51.98,71.07,79.74,5.23,29.07,4.36,6.9,0.69,0.03,98.7,1.3,99.5,0.53
169,1597,3,1546,6.33,244.04,0.19,50,1.22,2.27,0.4,3.4,0.04,0.09,0.05,92.62,7.38,97.8,2.2,0.1,10,0.12,0.21,0.07,3.2,0.04,47.56,17.32,9.24,8.69,16.68,86.52,93.41,0.12,0.09,0,100,57.1,42.86,0.63,9.77,1,580,2.18,1.34,32.8,28.4,0.02,3.2,6.76,1.13,0.37,51.86,5.17,0.31,0.24,114,1.82,55.4,1.13,5.2,0.02,4.34,7.51,5.33,87.22,10.1,5.35,1.78,4.9,2051,56.8,4.66,4.72,5.7,0.1,44.9,68.42,84.29,3.72,21.36,2.97,4.5,0.84,0.03,98.52,1.48,99.4,0.64
170,1765,2,1730,6.33,273.2,0.2,37,1.35,2.18,0.37,3.1,0.03,0.13,0.15,90.37,9.63,93.1,6.89,0.1,8,0.15,0.24,0.05,2.9,0.03,39.87,15.35,10.45,10.37,12.42,85.4,91.73,0.1,0.14,33.33,66.67,41.7,58.33,0.83,14.29,3.6,774,4.06,4.98,28,26.6,0.04,12.61,13.05,2.48,1.89,62.33,6.88,1.07,0.3,111,2.24,55.1,1.02,4.9,0.02,4.04,7.19,5.27,80.37,8.72,4.87,2.06,5.2,1600,56,8.14,3.11,4.6,0.08,43.48,64.4,81.8,7.38,16.53,2.84,5.13,1.47,0.08,97.38,2.63,99,0.98
176,1635,2,1598,8,199.7,0.19,38,1.13,1.97,0.32,3.5,0.03,0.2,0.13,82.3,17.7,93.4,6.6,0.08,8,0.13,0.21,0.06,3.3,0.03,42,18.8,10.9,10.1,18.3,88.6,91.4,0.14,0.12,-7.69,107.69,42.9,57.14,0.45,7.18,1.57,699,3.26,2.62,32.3,27.2,0.02,3.92,7.79,1.3,0.6,45.38,3.47,0.29,0.32,153,3.68,49.5,1.45,5.7,0.04,6,12.81,11,84.87,15.3,5.46,4.35,5.6,1580,56.1,5.66,4.34,5.7,0.08,48.08,60.62,76.82,4.45,20.99,2.5,3.98,0.75,0.04,98.66,1.34,99.3,0.71
172,1593,3,1552,8,194.05,0.17,40,0.86,1.64,0.27,2.9,0.03,0.14,0.1,83.72,16.28,93.9,6.1,0.1,6,0.1,0.2,0,2.7,0,43.8,14.3,11.1,9.9,17,88.1,94.3,0.1,0.1,0,100,41.2,58.82,0.39,6.05,2.1,585,2.58,3.04,31.4,27.5,0.02,4.69,5.69,1.17,0.72,45.35,3.66,0.26,0.22,160,3.1,51.5,1.12,5.6,0.02,3.3,10.47,9.45,82.33,10.88,5.01,1.72,5.9,1949,47.1,8.08,5.06,6.7,0.08,48.26,69.52,78.27,7.04,26.78,3.27,3.76,0.93,0.06,98.03,1.97,99.3,0.74
171,1589,2,1550,8,193.72,0.15,47,1.1,2,0.29,3,0.04,0.15,0.08,86.36,13.64,96,4,0.06,4,0.1,0.13,0.04,2.7,0.04,39.42,7.95,8.58,6.14,12.37,85.53,90.26,0.07,0.05,30,70,61.5,38.46,0.45,6.99,2.7,756,3.02,2.34,31.5,26.8,0.04,8.48,7.18,1.24,0.53,49,4.06,0.43,0.17,113,2.68,53.5,1.05,5.7,0.02,3.68,7.39,7.57,83.14,11.25,5.95,1.49,3.4,1799,44.4,9.96,3.88,6.5,0.16,48.43,77.49,82.61,10.19,27.38,4.46,7.83,0.89,0.04,98,2,99.6,0.4
169,1654,3,1612,8,201.52,0.23,41,1.18,2.23,0.29,3,0.06,0.15,0.08,87.29,12.71,96.4,3.59,0.11,6,0.12,0.18,0.04,2.8,0.06,40.77,13.65,9.59,7.61,12.35,86.6,92.86,0.08,0.05,33.33,66.67,72.2,27.78,0.46,7.46,3.03,541,2.48,2.68,32.7,27.4,0.02,5.51,6.04,0.97,0.56,52.18,4.16,0.15,0.33,93,1.92,55,0.94,5.2,0.04,4.53,7.83,5.68,86.05,11.31,5.95,2.29,7,1680,55.3,7.22,3.92,5.6,0.16,49.19,72.48,83.76,5.79,24.16,3.28,4.7,0.8,0.05,98.55,1.45,99.3,0.69
172,1574,2,1536,8,192.02,0.22,42,0.97,1.92,0.32,3.2,0.08,0.15,0.1,84.54,15.46,94.8,5.21,0.12,8,0.14,0.21,0.05,3,0.08,54.76,17.9,13.67,10.36,15.99,86.8,92.83,0.1,0.07,28.57,71.43,66.7,33.33,0.58,8.85,1.8,678,3.4,1.7,31.7,27.5,0.04,5,9.23,2.02,0.51,57.09,4.84,0.28,0.38,125,2.26,48.6,1.02,6.1,0.12,6.11,9.85,7.78,84.49,10.64,6.22,4.91,5.25,1977,55,6.6,3.86,5.2,0.12,34.13,63.02,76.53,4.64,16.28,2.14,1.98,1.71,0.06,96.89,3.11,99.1,0.91
164,1571,3,1529,8,191.1,0.18,37,0.94,1.94,0.29,2.9,0.06,0.15,0.07,84.04,15.96,96.4,3.61,0.06,5,0.15,0.17,0.05,2.7,0.06,33.19,13.31,15.16,8.33,16.05,87.15,94.36,0.12,0.07,20,80,58.8,41.18,0.41,6.33,2.35,631,2.6,1.64,31.4,28.9,0.04,5.67,7.32,1.15,0.35,44.86,4.07,0.27,0.16,100,1.76,56,0.97,4.8,0.04,2.62,7.88,5.27,81.22,9.41,4.59,1.86,5.7,1447,41.8,11.12,4.88,7,0.12,58.52,71.49,78.43,10.11,29.68,4.19,3.5,0.89,0.06,97.87,2.13,99.5,0.54
169,1564,2,1527,8,190.86,0.23,33.3,1.02,1.85,0.28,3.1,0.05,0.1,0.06,90.2,9.8,96.8,3.24,0.11,4,0.15,0.13,0.03,2.9,0.05,46.02,10.18,13.94,6.66,11.51,87.44,92.66,0.07,0.05,53.33,46.67,61.5,38.46,0.35,5.35,3.3,646,6.3,1.52,31.2,26.9,0.02,5.11,6.08,2.17,0.29,39.07,3,0.14,0.27,100,1.52,52.7,1.06,5.4,0.06,3.46,7.8,4.33,82.81,11,4.99,3.41,5.3,1457,41.8,9.76,5.54,7.4,0.1,45.41,75.94,79.56,10.24,38.41,4.57,3.8,0.77,0.07,98.16,1.84,99.3,0.72
168,1654,2,1615,8,201.89,0.2,36.16,1.08,2.1,0.31,3.1,0.05,0.15,0.07,86.11,13.89,96.7,3.33,0.08,4,0.16,0.19,0.04,2.9,0.05,37.33,9.72,14.01,8.55,10.98,86.66,92.98,0.08,0.07,50,50,63.2,36.84,0.56,9,2.3,732,4.7,2.24,31.4,27.6,0.04,6.33,10.48,2.42,0.59,56.43,4.86,0.44,0.16,90,1.6,55.6,0.97,5.3,0.04,2.5,7.33,4.7,83.93,9.92,5.31,2.49,6.3,1628,49.2,8.4,4.06,5.8,0.12,53.84,72.46,78.87,6.93,22.67,3.17,4.09,1.2,0.06,97.56,2.44,99.3,0.71
158,1300,3,1260,7.33,171.84,0.23,42,1.15,1.91,0.33,3,0.05,0.12,0.07,89.57,10.43,96.3,3.66,0.1,7,0.14,0.26,0.06,2.8,0.05,40.7,15.86,11.55,12.91,15.81,86.54,94.59,0.11,0.06,21.43,78.57,76.9,23.08,0.45,5.73,4.7,752,5.5,1.62,31.4,27.8,0.02,9.17,8.17,2.17,0.39,43.27,4.12,0.18,0.2,110,1.94,54,1.06,5.5,0.04,2.45,7.5,4.81,80.67,9.17,5.11,2.28,6,1548,50.6,6.22,5.66,7,0.08,47.68,68.47,81.47,6.03,31.76,4.22,2.95,1.48,0.08,97.08,2.92,98.7,1.29
168,1535,3,1493,8,186.61,0.22,38,1.12,1.75,0.28,3.1,0.14,0.1,0.04,91.07,8.93,97.7,2.29,0.11,5,0.15,0.3,0.05,2.9,0.14,48.98,12.88,12.76,16.34,17.02,88.76,95.37,0.08,0.05,46.67,53.33,83.3,16.67,0.55,8.25,4.3,742,10,4.12,28,23.2,0.06,11.11,11.09,4.94,1.3,55.3,4.12,0.24,0.39,149,2.26,52.3,1.26,5.4,0.08,4.32,9.54,4.78,70.82,10.66,4.11,1.35,4.3,1388,49,11.4,2.69,5.3,0.24,35.59,66.48,77.52,11.54,17.02,3.02,3.04,0.77,0.05,98.43,1.57,99.6,0.44
166,1525,2,1488,7.33,202.85,0.36,32,1.09,1.85,0.25,2.8,0.13,0.11,0.06,89.91,10.09,96.8,3.24,0.11,3,0.15,0.19,0.04,2.6,0.13,30.15,8.79,13.11,9.79,15.25,88,95.94,0.09,0.07,40,60,63.2,36.84,0.34,5.1,4.4,684,2.94,2.1,32.4,28.6,0.04,4.34,7.21,0.92,0.39,44.42,3.48,0.11,0.33,106,2.4,55.2,1.13,5.2,0.06,2.68,9.2,6.21,84.21,12.76,5.21,1.31,14.1,1570,56.1,6.7,4.45,6,0.22,62.84,74.8,79.75,5.61,27.58,3.3,2.64,1.23,0.04,97.81,2.19,99.4,0.6
166,1640,3,1598,7.67,208.44,0.31,29,1.08,1.75,0.28,2.6,0.1,0.08,0.04,92.59,7.41,97.7,2.29,0.08,3,0.1,0.12,0.03,2.4,0.1,32.08,7.96,8.8,6.52,10.53,85.76,93.6,0.05,0.04,50,50,66.7,33.33,0.43,6.87,2.1,493,1.26,1.06,33.2,29.8,0.02,3.8,5.91,0.5,0.26,50.94,4.81,0.08,0.15,73,1.12,57.7,0.87,5,0.04,1.62,5.2,2.65,84.24,7.94,4.8,1.01,7.7,1507,49.4,8.16,4.45,6.4,0.28,62.5,80.93,88.04,8.98,30.59,4.63,5.31,0.68,0.06,98.62,1.38,99.3,0.74
166,1416,2,1383,5.67,244.05,0.3,40,1.1,2.13,0.31,3.3,0.04,0.25,0.11,77.27,22.73,94.8,5.16,0.11,6,0.15,0.16,0.06,3.1,0.04,38.33,14.85,12.88,7.1,18.89,88.25,90.81,0.15,0.09,0,100,43.8,56.25,0.41,5.7,3.8,540,5.88,3.06,29.9,27.1,0.04,5.77,5.83,2.2,0.59,39.72,3.36,0.4,0.35,113,1.74,53.5,1.28,5,0.04,4.02,9.23,4.93,78.3,12.87,4.7,3,7,1332,43.8,14.86,4.4,6.1,0.12,51.87,70.1,79.99,14.01,28.51,3.69,5.79,1.26,0.08,97.12,2.88,99.5,0.54
167,1610,2,1575,8,196.93,0.16,31,0.99,1.94,0.22,2.8,0.05,0.14,0.08,85.86,14.14,95.9,4.12,0.08,5,0.1,0.16,0.03,2.7,0.06,39.49,12.42,9.59,7.83,12.08,88.32,91.73,0.08,0.07,20,80,56.3,43.75,0.33,5.27,2.76,676,6.7,3.06,30.1,25.9,0.04,4.8,5.92,2.26,0.53,45.77,2.99,0.22,0.23,95,1.46,55.3,1.01,4.9,0.06,3.54,7.35,4.36,84.26,13.57,4.99,2.86,5.6,1585,46.3,8,3.51,6,0.18,52.18,74.31,83.79,7.39,28.58,3.7,5.19,0.91,0.11,98.03,1.97,98.6,1.38
166,1550,3,1510,7.33,205.96,0.23,38,1,1.84,0.25,3,0.07,0.09,0.07,91,9,96.2,3.8,0.12,5,0.15,0.17,0.04,2.9,0.06,49.19,13.24,14.29,8.8,15.24,89.41,95.53,0.08,0.06,46.67,53.33,64.7,35.29,0.36,5.46,3.7,754,7.06,2.26,30.1,24.6,0.04,5.76,7.58,2.55,0.44,43.53,2.88,0.24,0.25,90,1.1,56.4,0.92,4.7,0.02,2.91,6.77,2.98,82.92,9.96,4.11,0.9,5.9,1569,48.3,8.68,4.71,6.7,0.12,42.14,72.41,80.18,7.83,31.28,3.6,3.33,0.85,0.08,98.24,1.76,99.1,0.92
162,1554,2,1519,8,189.87,0.19,43,1.11,1.86,0.29,3,0.06,0.18,0.11,83.78,16.22,94.1,5.91,0.06,6,0.08,0.21,0.02,2.8,0.05,35.05,12.88,6.84,10.71,6.54,87.61,91.84,0.1,0.08,-25,125,61.9,38.1,0.38,5.83,2.75,691,9,1.52,30.5,26.7,0.02,6.5,6.01,3.11,0.31,40.39,3.38,0.15,0.23,126,2.38,52.5,1.2,5.1,0.08,4.2,8.47,6.37,83.8,12.29,4.99,4.6,5,1821,52.7,5.46,6.71,6.9,0.1,54.25,72.64,83.68,5.17,40.78,4.01,3.41,1.64,0.08,96.89,3.11,98.5,1.47
165,1495,3,1457,8,182.1,0.2,33,0.95,1.85,0.28,3.1,0.04,0.1,0.06,89.47,10.53,96.8,3.24,0.1,4,0.11,0.2,0.03,2.9,0.04,37.99,10.77,11.02,10.28,10.19,88.16,95.51,0.09,0.07,18.18,81.82,65,35,0.42,6.05,4.35,738,5.3,2.28,31.9,27.4,0.02,7.21,8.67,2.32,0.51,47.29,3.63,0.21,0.35,132,2.5,50.8,1.38,5.4,0.02,4.32,11.55,8.14,84.91,15.24,5.34,1.55,9.3,1794,54.9,5.84,5.62,6.6,0.08,50.47,69,78.53,4.29,27.28,2.87,2.73,0.97,0.06,98.23,1.77,99,1.03
167,1626,2,1589,8,198.65,0.25,39,1.1,1.86,0.27,3.2,0.06,0.15,0.1,86.36,13.64,94.6,5.38,0.09,5,0.07,0.18,0.03,3,0.06,29.81,10.53,6.03,9.17,11.23,88.06,93.29,0.06,0.06,14.29,85.71,66.7,33.33,0.45,7.17,5.1,821,10,4.82,29,27.1,0.04,8.04,8.23,4.1,1.17,48.44,3.79,0.3,0.3,127,1.92,49.6,1.42,5.6,0.06,3.27,8.8,5.44,83.1,16.39,5.41,3.07,9.9,1915,54.6,7.18,3.8,5.2,0.12,58.88,72.43,84.43,6.57,23.94,2.74,3.35,1.24,0.05,97.73,2.27,99.3,0.7
169,312,2,305,6,50.85,0.34,44,1.15,1.95,0.32,3.6,0.04,0.19,0.08,83.48,16.52,95.9,4.1,0.19,6,0.15,0.23,0.04,3.4,0.04,52.56,14.18,12.34,11.16,12.68,88.81,90.96,0.14,0.11,6.67,93.33,52.2,47.83,0.55,1.67,8.1,773,5.7,7.42,29.3,24.2,0.04,12.99,10.59,2.72,2.09,50.08,3.66,0.53,0.62,199,3.24,49.1,1.79,5.6,0.06,5.76,15.79,8.95,79.99,17.71,4.91,4.58,6,1454,53.4,8.06,3.83,5.8,0.1,28.7,59.43,75.99,6.76,19.52,2.62,3.93,1.2,0.07,97.75,2.25,99.1,0.87
163,1115,2,1093,7,156.19,0.16,36,0.89,1.51,0.26,2.9,0.03,0.1,0.07,88.76,11.24,95.4,4.64,0.07,7,0.14,0.2,0.04,2.8,0.03,47.42,18.36,15.07,12.69,15.11,88.78,92.25,0.08,0.04,42.86,57.14,80,20,0.49,5.37,5.3,809,8.26,6.66,26,24.1,0.06,18.41,10.88,4.56,2.17,49.13,3.92,0.95,0.33,212,4.66,46.8,1.84,6.2,0.04,6.12,15.22,13.73,81.29,18.56,5.38,3.37,3.7,1892,55.3,5.42,4.17,5.4,0.1,28.05,55.54,66.64,3.85,17.2,1.92,3.44,1.27,0.04,97.7,2.3,99.3,0.74
165,1681,2,1640,5.33,307.42,0.15,29,0.67,1.23,0.15,2.7,0.06,0.13,0.07,80.6,19.4,94.3,5.69,0.06,6,0.14,0.21,0.03,2.5,0.05,40.95,18.47,20.22,16.52,20.64,90.6,89.9,0.08,0.06,42.86,57.14,71.4,28.57,0.16,2.59,13.7,1016,15.2,4.92,26.5,21.7,0.04,15.28,5.11,3.59,0.63,27.93,1.29,0.12,0.46,158,2.82,44.3,1.47,7.2,0.18,7,10.84,9.08,77.67,21.13,5.82,7.21,5.6,2213,48.3,6.84,4.88,6.6,0.16,36.78,65.57,67.12,5.18,30.29,2.3,2.77,1.01,0.07,97.91,2.09,99,1.02
164,1606,2,1569,7.33,213.92,0.24,42,0.96,1.42,0.28,2.9,0.05,0.11,0.07,88.54,11.46,95.1,4.93,0.13,6,0.17,0.22,0.02,2.8,0.05,50.16,13.23,16.98,14.86,7.88,88.8,93.64,0.08,0.06,52.94,47.06,72.7,27.27,0.56,8.77,4.55,789,3.48,2.86,31.9,26,0.06,10.23,10.14,2.03,1.13,63.7,4.81,0.66,0.46,142,2.42,51.4,1.55,5.6,0.06,4.05,7.14,5.52,79.2,12.11,4.05,2.56,6.6,2257,54.1,5.1,3.41,5.3,0.12,35.56,69.49,75.47,4.81,16.31,2.35,3.14,1.13,0.06,97.91,2.09,98.8,1.18
